GlobalTracer.FirstPowerUp_Info: Thu Apr 05 15:06:17 PDT 2018[0.057]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: _None000 (Blue3) [FMSConnected=true] msg=LRL
GlobalTracer.CmdAutoSwitch_Info: [0.126] delay=0.0, fwdDistance=235.0, startPos=RIGHT_POS, fastDelivery=false, getSecondCube=false
GlobalTracer.printPidInfo_Info: [1.947] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.947] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.947] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.985] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [1.985] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [1.985] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.029] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.001/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.029] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.029] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.078] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.001/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.078] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/-0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.078] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.119] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.119] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.119] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.162] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/-0.001/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.162] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.162] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.206] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.206] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.206] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.248] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.248] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.248] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.299] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.299] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.299] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.339] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.339] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.339] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.379] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.379] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.379] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.420] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.420] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.420] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.463] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.463] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.463] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.507] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.507] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.507] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.557] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.557] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.557] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.600] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.600] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.600] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.646] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.001/ 0.000, Output= 0.108(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.646] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.646] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.686] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.686] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.686] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.723] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.723] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.723] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.761] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.761] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.761] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [2.798] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.798] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.798] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.828] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.828] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.828] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.876] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.876] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.876] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.906] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.906] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.906] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [2.962] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.962] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [2.962] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.019] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.019] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.019] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.075] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.108/ 0.000/ 0.000/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.075] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.075] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.126] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.001/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.126] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.126] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.171] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.171] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.171] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.209] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.209] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.209] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.245] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.245] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.245] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.287] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.287] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.287] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.328] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.328] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.328] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.368] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.368] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.368] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.411] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.001/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.411] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.411] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.449] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.449] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.449] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.487] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.487] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.487] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.526] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.526] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.526] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.566] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.1(9.9)
